Entity,Code,Year,Inbound Tourism Expenditure (adjusted for inflation and cost of living)
Chile,CHL,2010,2265210000
Chile,CHL,2011,2427200300
Chile,CHL,2012,2845823000
Chile,CHL,2013,2879061200
Chile,CHL,2014,3275357700
Chile,CHL,2015,3945992400
Chile,CHL,2016,4227856400
Chile,CHL,2017,4658865700
Chile,CHL,2018,4131489500
Chile,CHL,2019,3508667600
Chile,CHL,2020,688953340
Chile,CHL,2021,172660240
Colombia,COL,1995,2013477500
Colombia,COL,1996,3226582800
Colombia,COL,1997,2792140800
Colombia,COL,1998,2616601000
Colombia,COL,1999,2903269000
Colombia,COL,2000,3510360600
Colombia,COL,2001,4231529700
Colombia,COL,2002,3442965800
Colombia,COL,2003,3409674800
Colombia,COL,2004,4040818700
Colombia,COL,2005,4260641800
Colombia,COL,2006,5165422600
Colombia,COL,2007,4487029000
Colombia,COL,2008,4660660700
Colombia,COL,2009,5116300000
Colombia,COL,2010,5047300000
Colombia,COL,2011,5111169000
Colombia,COL,2012,5540823000
Colombia,COL,2013,5891703300
Colombia,COL,2014,6494168600
Colombia,COL,2015,9405544000
Colombia,COL,2016,10384489000
Colombia,COL,2017,10465658000
Colombia,COL,2018,11595723000
Colombia,COL,2019,12570884000
Colombia,COL,2020,3808076800
Colombia,COL,2021,6520803000
Costa Rica,CRI,1995,2041161900
Costa Rica,CRI,1996,2092684200
Costa Rica,CRI,1997,2162767000
Costa Rica,CRI,1998,2638592500
Costa Rica,CRI,1999,3199070700
Costa Rica,CRI,2000,4118511400
Costa Rica,CRI,2001,3569938400
Costa Rica,CRI,2002,3534302000
Costa Rica,CRI,2003,3974758700
Costa Rica,CRI,2004,4389018600
Costa Rica,CRI,2005,4830710300
Costa Rica,CRI,2006,4734378500
Costa Rica,CRI,2007,5178988500
Costa Rica,CRI,2008,5272817700
Costa Rica,CRI,2009,4222125000
Costa Rica,CRI,2010,4055036700
Costa Rica,CRI,2011,4011175000
Costa Rica,CRI,2012,3984650500
Costa Rica,CRI,2013,4356643000
Costa Rica,CRI,2014,4594068000
Costa Rica,CRI,2015,4933619700
Costa Rica,CRI,2016,5616526300
Costa Rica,CRI,2017,5770346000
Costa Rica,CRI,2018,5916439000
Costa Rica,CRI,2019,6241390600
Costa Rica,CRI,2020,2055008800
Costa Rica,CRI,2021,2591286000
Croatia,HRV,1995,3356064500
Croatia,HRV,1996,4990696400
Croatia,HRV,1997,6804249600
Croatia,HRV,1998,7156164600
Croatia,HRV,1999,7012625000
Croatia,HRV,2000,8631892000
Croatia,HRV,2001,10135525000
Croatia,HRV,2002,10750042000
Croatia,HRV,2003,14897766000
Croatia,HRV,2004,14005887000
Croatia,HRV,2005,14642498000
Croatia,HRV,2006,15095416000
Croatia,HRV,2007,15605017000
Croatia,HRV,2008,16408440000
Croatia,HRV,2009,13760114000
Croatia,HRV,2010,12716857000
Croatia,HRV,2011,14001326000
Croatia,HRV,2012,13768001000
Croatia,HRV,2013,14388674000
Croatia,HRV,2014,15065250000
Croatia,HRV,2015,14687879000
Croatia,HRV,2016,16590373000
Croatia,HRV,2017,18233235000
Croatia,HRV,2018,18371461000
Croatia,HRV,2019,20312027000
Croatia,HRV,2020,9460204000
Croatia,HRV,2021,17407734000
Czechia,CZE,1995,11441872000
Czechia,CZE,1996,15239499000
Czechia,CZE,1997,14543207000
Czechia,CZE,1998,14391896000
Czechia,CZE,1999,12218283000
Czechia,CZE,2000,12395564000
Czechia,CZE,2001,12184817000
Czechia,CZE,2002,9827893000
Czechia,CZE,2003,10175995000
Czechia,CZE,2004,10592908000
Czechia,CZE,2005,11144175000
Czechia,CZE,2006,12532000000
Czechia,CZE,2007,12912618000
Czechia,CZE,2008,12082713000
Czechia,CZE,2009,11773861000
Czechia,CZE,2010,11513666000
Czechia,CZE,2011,11816145000
Czechia,CZE,2012,11655934000
Czechia,CZE,2013,10848801000
Czechia,CZE,2014,11109061000
Czechia,CZE,2015,11650594000
Czechia,CZE,2016,11975182000
Czechia,CZE,2017,12353378000
Czechia,CZE,2018,12009404000
Czechia,CZE,2019,12084634000
Czechia,CZE,2020,5837232000
Czechia,CZE,2021,4505489000
Denmark,DNK,1995,4112650500
Denmark,DNK,1996,3862098200
Denmark,DNK,1997,3972534800
Denmark,DNK,1998,4057774800
Denmark,DNK,1999,4710042600
Denmark,DNK,2000,5264680000
Denmark,DNK,2001,5775995400
Denmark,DNK,2002,6402210000
Denmark,DNK,2003,5758013000
Denmark,DNK,2004,5550966300
Denmark,DNK,2005,5110562300
Denmark,DNK,2006,5224858600
Denmark,DNK,2007,5054983700
Denmark,DNK,2008,4809728500
Denmark,DNK,2009,4464682500
Denmark,DNK,2010,4649002500
Denmark,DNK,2011,4820003300
Denmark,DNK,2012,4894387000
Denmark,DNK,2013,4980833300
Denmark,DNK,2014,5808997000
Denmark,DNK,2015,6083956000
Denmark,DNK,2016,6807065000
Denmark,DNK,2017,7494255600
Denmark,DNK,2018,7609744400
Denmark,DNK,2019,7577459000
Denmark,DNK,2020,3396685000
Denmark,DNK,2021,3638387500
Estonia,EST,1995,1246312600
Estonia,EST,1996,1441819400
Estonia,EST,1997,1469376100
Estonia,EST,1998,1568893800
Estonia,EST,1999,1613280300
Estonia,EST,2000,1659140000
Estonia,EST,2001,1612873100
Estonia,EST,2002,1620191500
Estonia,EST,2003,1612392300
Estonia,EST,2004,1880176100
Estonia,EST,2005,1975705100
Estonia,EST,2006,1976258000
Estonia,EST,2007,1720378200
Estonia,EST,2008,1678993500
Estonia,EST,2009,1616059100
Estonia,EST,2010,1608257700
Estonia,EST,2011,1720053900
Estonia,EST,2012,1835826700
Estonia,EST,2013,2184717600
Estonia,EST,2014,2506437000
Estonia,EST,2015,2415703300
Estonia,EST,2016,2489058000
Estonia,EST,2017,2545475000
Estonia,EST,2018,2524340700
Estonia,EST,2019,2540746200
Estonia,EST,2020,847222100
Estonia,EST,2021,848280770
Finland,FIN,1995,1869239300
Finland,FIN,1996,1949300100
Finland,FIN,1997,2181045500
Finland,FIN,1998,2202022000
Finland,FIN,1999,2120373400
Finland,FIN,2000,2194977300
Finland,FIN,2001,2256882400
Finland,FIN,2002,2310971100
Finland,FIN,2003,2269151000
Finland,FIN,2004,2276492800
Finland,FIN,2005,2384544000
Finland,FIN,2006,2539661600
Finland,FIN,2007,2705624800
Finland,FIN,2008,2761669000
Finland,FIN,2009,2471769600
Finland,FIN,2010,2833202700
Finland,FIN,2011,3317151700
Finland,FIN,2012,3522930200
Finland,FIN,2013,3500410600
Finland,FIN,2014,3134234000
Finland,FIN,2015,2646966300
Finland,FIN,2016,2720809700
Finland,FIN,2017,3396150800
Finland,FIN,2018,3464360200
Finland,FIN,2019,3676791600
Finland,FIN,2020,1200951600
Finland,FIN,2021,984472300
France,FRA,1995,36205620000
France,FRA,1996,37392794000
France,FRA,1997,40744227000
France,FRA,1998,44034120000
France,FRA,1999,58498413000
France,FRA,2000,57778598000
France,FRA,2001,57431770000
France,FRA,2002,58094060000
France,FRA,2003,53517636000
France,FRA,2004,54275895000
France,FRA,2005,52185550000
France,FRA,2006,53853192000
France,FRA,2007,56632984000
France,FRA,2008,54227710000
France,FRA,2009,49502840000
France,FRA,2010,48032436000
France,FRA,2011,53185372000
France,FRA,2012,54645040000
France,FRA,2013,55479845000
France,FRA,2014,57110405000
France,FRA,2015,68244476000
France,FRA,2016,64782246000
France,FRA,2017,67248560000
France,FRA,2018,69696360000
France,FRA,2019,70561915000
France,FRA,2020,35428737000
France,FRA,2021,41844265000
Germany,DEU,1995,24356846000
Germany,DEU,1996,24621947000
Germany,DEU,1997,27969667000
Germany,DEU,1998,29179914000
Germany,DEU,1999,30031624000
Germany,DEU,2000,34876090000
Germany,DEU,2001,34176565000
Germany,DEU,2002,34149464000
Germany,DEU,2003,33887164000
Germany,DEU,2004,36191280000
Germany,DEU,2005,37539172000
Germany,DEU,2006,41387303000
Germany,DEU,2007,40660857000
Germany,DEU,2008,40832643000
Germany,DEU,2009,37364896000
Germany,DEU,2010,38664120000
Germany,DEU,2011,40638670000
Germany,DEU,2012,42192460000
Germany,DEU,2013,43622900000
Germany,DEU,2014,45305910000
Germany,DEU,2015,46011474000
Germany,DEU,2016,46616994000
Germany,DEU,2017,48041656000
Germany,DEU,2018,48429457000
Germany,DEU,2019,49050790000
Germany,DEU,2020,25265594000
Germany,DEU,2021,23704234000
Greece,GRC,1995,7819592000
Greece,GRC,1996,6761410000
Greece,GRC,1997,7365262000
Greece,GRC,1998,12478884000
Greece,GRC,1999,17853923000
Greece,GRC,2000,21716680000
Greece,GRC,2001,21724285000
Greece,GRC,2002,21499664000
Greece,GRC,2003,18864923000
Greece,GRC,2004,19680958000
Greece,GRC,2005,19923020000
Greece,GRC,2006,20668172000
Greece,GRC,2007,19855053000
Greece,GRC,2008,19925540000
Greece,GRC,2009,17489406000
Greece,GRC,2010,14925322000
Greece,GRC,2011,16331326000
Greece,GRC,2012,15545409000
Greece,GRC,2013,18480255000
Greece,GRC,2014,20741170000
Greece,GRC,2015,22217249000
Greece,GRC,2016,21110456000
Greece,GRC,2017,23438987000
Greece,GRC,2018,24851454000
Greece,GRC,2019,28171672000
Greece,GRC,2020,6915583500
Greece,GRC,2021,16249075000
Hungary,HUN,1995,9444869000
Hungary,HUN,1996,11302564000
Hungary,HUN,1997,12461908000
Hungary,HUN,1998,12032250000
Hungary,HUN,1999,11830233000
Hungary,HUN,2000,13424080000
Hungary,HUN,2001,13899076000
Hungary,HUN,2002,10666670000
Hungary,HUN,2003,9656379000
Hungary,HUN,2004,7880741400
Hungary,HUN,2005,7885252600
Hungary,HUN,2006,8258024400
Hungary,HUN,2007,7437316600
Hungary,HUN,2008,8937549000
Hungary,HUN,2009,9351798000
Hungary,HUN,2010,8569059300
Hungary,HUN,2011,8459865600
Hungary,HUN,2012,7646546400
Hungary,HUN,2013,7919709000
Hungary,HUN,2014,9026562000
Hungary,HUN,2015,9840483000
Hungary,HUN,2016,10536007000
Hungary,HUN,2017,11023661000
Hungary,HUN,2018,11660595000
Hungary,HUN,2019,12835703000
Hungary,HUN,2020,5836135400
Hungary,HUN,2021,7030306000
Iceland,ISL,1995,210010510
Iceland,ISL,1996,199759090
Iceland,ISL,1997,205625580
Iceland,ISL,1998,242206300
Iceland,ISL,1999,256508200
Iceland,ISL,2000,271132220
Iceland,ISL,2001,322729700
Iceland,ISL,2002,318497860
Iceland,ISL,2003,325445760
Iceland,ISL,2004,334830660
Iceland,ISL,2005,322494980
Iceland,ISL,2006,389841540
Iceland,ISL,2007,425864930
Iceland,ISL,2008,538706500
Iceland,ISL,2009,595975000
Iceland,ISL,2010,571269300
Iceland,ISL,2011,697189570
Iceland,ISL,2012,823389100
Iceland,ISL,2013,969206460
Iceland,ISL,2014,1168979200
Iceland,ISL,2015,1517256100
Iceland,ISL,2016,2036071700
Iceland,ISL,2017,2199972600
Iceland,ISL,2018,2253762800
Iceland,ISL,2019,2125147900
Iceland,ISL,2020,555078400
Iceland,ISL,2021,992919200
Indonesia,IDN,1995,18728376000
Indonesia,IDN,1996,21367950000
Indonesia,IDN,1997,26860340000
Indonesia,IDN,1998,37343560000
Indonesia,IDN,1999,24869165000
Indonesia,IDN,2000,29395680000
Indonesia,IDN,2001,34070764000
Indonesia,IDN,2002,27671398000
Indonesia,IDN,2003,18238292000
Indonesia,IDN,2004,21298885000
Indonesia,IDN,2005,19731096000
Indonesia,IDN,2006,16194538000
Indonesia,IDN,2007,18255555000
Indonesia,IDN,2008,24248830000
Indonesia,IDN,2009,18883721000
Indonesia,IDN,2010,19532898000
Indonesia,IDN,2011,20558262000
Indonesia,IDN,2012,21962461000
Indonesia,IDN,2013,25198630000
Indonesia,IDN,2014,30226708000
Indonesia,IDN,2015,33631695000
Indonesia,IDN,2016,33624824000
Indonesia,IDN,2017,38185394000
Indonesia,IDN,2018,49218400000
Indonesia,IDN,2019,48872790000
Indonesia,IDN,2020,9884304000
Indonesia,IDN,2021,1471116700
Ireland,IRL,1995,2621194800
Ireland,IRL,1996,2883751000
Ireland,IRL,1997,3128798200
Ireland,IRL,1998,4159521800
Ireland,IRL,1999,3423547600
Ireland,IRL,2000,3732773600
Ireland,IRL,2001,3917580300
Ireland,IRL,2002,3935858400
Ireland,IRL,2003,3964435000
Ireland,IRL,2004,3996095500
Ireland,IRL,2005,4262700000
Ireland,IRL,2006,4566206000
Ireland,IRL,2007,4507815400
Ireland,IRL,2008,4227369200
Ireland,IRL,2009,3642873600
Ireland,IRL,2010,3183341300
Ireland,IRL,2011,3050339000
Ireland,IRL,2012,2980581600
Ireland,IRL,2013,3316943400
Ireland,IRL,2014,3601694200
Ireland,IRL,2015,4253082600
Ireland,IRL,2016,4633508000
Ireland,IRL,2017,4927626000
Ireland,IRL,2018,5618657000
Ireland,IRL,2019,5556050400
Ireland,IRL,2020,2019657900
Ireland,IRL,2021,2137652000
Israel,ISR,1995,3878284300
Israel,ISR,1996,3764017200
Israel,ISR,1997,4029476000
Israel,ISR,1998,4031653400
Israel,ISR,1999,5693071400
Israel,ISR,2000,5303866000
Israel,ISR,2001,3365458200
Israel,ISR,2002,3003793000
Israel,ISR,2003,2849154800
Israel,ISR,2004,3269910300
Israel,ISR,2005,4162263300
Israel,ISR,2006,4058125800
Israel,ISR,2007,4278994400
Israel,ISR,2008,4526409000
Israel,ISR,2009,4453554000
Israel,ISR,2010,4701678600
Israel,ISR,2011,4561154600
Israel,ISR,2012,5103332400
Israel,ISR,2013,5034522600
Israel,ISR,2014,5012269000
Israel,ISR,2015,5490947600
Israel,ISR,2016,5467397600
Israel,ISR,2017,5908977000
Israel,ISR,2018,6180919000
Israel,ISR,2019,6417405400
Israel,ISR,2020,2045350500
Israel,ISR,2021,1676978400
Italy,ITA,1995,51586605000
Italy,ITA,1996,49104523000
Italy,ITA,1997,52583404000
Italy,ITA,1998,52754686000
Italy,ITA,1999,51631174000
Italy,ITA,2000,56359637000
Italy,ITA,2001,53113586000
Italy,ITA,2002,51120304000
Italy,ITA,2003,48405660000
Italy,ITA,2004,48742560000
Italy,ITA,2005,47667660000
Italy,ITA,2006,50149564000
Italy,ITA,2007,50276315000
Italy,ITA,2008,49122083000
Italy,ITA,2009,44938007000
Italy,ITA,2010,44292534000
Italy,ITA,2011,46211355000
Italy,ITA,2012,45974110000
Italy,ITA,2013,47031005000
Italy,ITA,2014,48763440000
Italy,ITA,2015,50514067000
Italy,ITA,2016,51899220000
Italy,ITA,2017,55460480000
Italy,ITA,2018,57734410000
Italy,ITA,2019,61096395000
Italy,ITA,2020,24090290000
Italy,ITA,2021,28659644000
Japan,JPN,1995,2701610800
Japan,JPN,1996,3949515000
Japan,JPN,1997,4579805000
Japan,JPN,1998,4256165600
Japan,JPN,1999,3406407700
Japan,JPN,2000,3189852000
Japan,JPN,2001,3552083000
Japan,JPN,2002,3912744400
Japan,JPN,2003,9176970000
Japan,JPN,2004,10904637000
Japan,JPN,2005,12292428000
Japan,JPN,2006,8816418000
Japan,JPN,2007,9842927000
Japan,JPN,2008,9867245000
Japan,JPN,2009,8644283000
Japan,JPN,2010,10458413000
Japan,JPN,2011,7930975700
Japan,JPN,2012,10515321000
Japan,JPN,2013,13268985000
Japan,JPN,2014,17471306000
Japan,JPN,2015,26284380000
Japan,JPN,2016,29133828000
Japan,JPN,2017,33112814000
Japan,JPN,2018,39886094000
Japan,JPN,2019,42879790000
Japan,JPN,2020,9667644000
Japan,JPN,2021,4448377300
Latvia,LVA,1995,73645020
Latvia,LVA,1996,702699700
Latvia,LVA,1997,610341100
Latvia,LVA,1998,561361860
Latvia,LVA,1999,352738700
Latvia,LVA,2000,395381950
Latvia,LVA,2001,362822940
Latvia,LVA,2002,474083260
Latvia,LVA,2003,587030800
Latvia,LVA,2004,628506750
Latvia,LVA,2005,786032100
Latvia,LVA,2006,1030632960
Latvia,LVA,2007,1199799000
Latvia,LVA,2008,1161437800
Latvia,LVA,2009,1066113800
Latvia,LVA,2010,998166140
Latvia,LVA,2011,1090316900
Latvia,LVA,2012,1122594300
Latvia,LVA,2013,1263812900
Latvia,LVA,2014,1382829200
Latvia,LVA,2015,1552287000
Latvia,LVA,2016,1560705900
Latvia,LVA,2017,1571638100
Latvia,LVA,2018,1629670700
Latvia,LVA,2019,1607296400
Latvia,LVA,2020,1239247000
Latvia,LVA,2021,1086470500
Lithuania,LTU,1995,415032200
Lithuania,LTU,1996,1366697100
Lithuania,LTU,1997,1429998100
Lithuania,LTU,1998,1739090200
Lithuania,LTU,1999,2064328000
Lithuania,LTU,2000,1453283800
Lithuania,LTU,2001,1404350100
Lithuania,LTU,2002,1697367700
Lithuania,LTU,2003,1805573200
Lithuania,LTU,2004,1972071700
Lithuania,LTU,2005,2272097300
Lithuania,LTU,2006,2451700200
Lithuania,LTU,2007,2363775700
Lithuania,LTU,2008,2152353800
Lithuania,LTU,2009,1691330400
Lithuania,LTU,2010,1726267500
Lithuania,LTU,2011,2176119600
Lithuania,LTU,2012,2278549000
Lithuania,LTU,2013,2277835000
Lithuania,LTU,2014,2289749500
Lithuania,LTU,2015,2304986000
Lithuania,LTU,2016,2402880300
Lithuania,LTU,2017,2485662700
Lithuania,LTU,2018,2628059100
Lithuania,LTU,2019,2687526000
Lithuania,LTU,2020,1001357600
Lithuania,LTU,2021,941469200
Luxembourg,LUX,1995,1989603500
Luxembourg,LUX,1996,1998129900
Luxembourg,LUX,1997,2276167000
Luxembourg,LUX,1998,2280647200
Luxembourg,LUX,1999,2444761000
Luxembourg,LUX,2000,2717164800
Luxembourg,LUX,2001,2881525200
Luxembourg,LUX,2002,4638172000
Luxembourg,LUX,2003,4745944600
Luxembourg,LUX,2004,4985545700
Luxembourg,LUX,2005,4932229000
Luxembourg,LUX,2006,4793218600
Luxembourg,LUX,2007,4847377000
Luxembourg,LUX,2008,4957439500
Luxembourg,LUX,2009,4971013600
Luxembourg,LUX,2010,5108216300
Luxembourg,LUX,2011,5711337000
Luxembourg,LUX,2012,5962470400
Luxembourg,LUX,2013,5944065500
Luxembourg,LUX,2014,6020335600
Luxembourg,LUX,2015,5510699000
Luxembourg,LUX,2016,5583029000
Luxembourg,LUX,2017,5429416000
Luxembourg,LUX,2018,5442308600
Luxembourg,LUX,2019,5350753000
Luxembourg,LUX,2020,4315036700
Luxembourg,LUX,2021,4417247700
Malta,MLT,1995,1391377700
Malta,MLT,1996,1341013200
Malta,MLT,1997,1399191700
Malta,MLT,1998,1414411800
Malta,MLT,1999,1452551000
Malta,MLT,2000,1371618700
Malta,MLT,2001,1308122000
Malta,MLT,2002,1349922600
Malta,MLT,2003,1363175800
Malta,MLT,2004,1287183600
Malta,MLT,2005,1234023200
Malta,MLT,2006,1202573700
Malta,MLT,2007,1366263700
Malta,MLT,2008,1376072800
Malta,MLT,2009,1180997000
Malta,MLT,2010,1451339100
Malta,MLT,2011,1606966400
Malta,MLT,2012,1679278600
Malta,MLT,2013,1786484700
Malta,MLT,2014,1931566700
Malta,MLT,2015,2077065100
Malta,MLT,2016,2173523200
Malta,MLT,2017,2529639700
Malta,MLT,2018,2531779600
Malta,MLT,2019,2695885600
Malta,MLT,2020,542536960
Malta,MLT,2021,1016611260
Mexico,MEX,1995,19626758000
Mexico,MEX,1996,18904990000
Mexico,MEX,1997,17828993000
Mexico,MEX,1998,18025580000
Mexico,MEX,1999,15596387000
Mexico,MEX,2000,16177111000
Mexico,MEX,2001,15220420000
Mexico,MEX,2002,15792633000
Mexico,MEX,2003,17838688000
Mexico,MEX,2004,20554902000
Mexico,MEX,2005,20867250000
Mexico,MEX,2006,20777036000
Mexico,MEX,2007,21258340000
Mexico,MEX,2008,21313840000
Mexico,MEX,2009,21163346000
Mexico,MEX,2010,19789867000
Mexico,MEX,2011,18622663000
Mexico,MEX,2012,20351404000
Mexico,MEX,2013,20819423000
Mexico,MEX,2014,24204180000
Mexico,MEX,2015,30738786000
Mexico,MEX,2016,39010550000
Mexico,MEX,2017,40506196000
Mexico,MEX,2018,41452630000
Mexico,MEX,2019,43676800000
Mexico,MEX,2020,21082860000
Mexico,MEX,2021,33831305000
Netherlands,NLD,1995,9221448000
Netherlands,NLD,1996,9467326000
Netherlands,NLD,1997,10291699000
Netherlands,NLD,1998,11071553000
Netherlands,NLD,1999,11597381000
Netherlands,NLD,2000,13486105000
Netherlands,NLD,2001,12445313000
Netherlands,NLD,2002,13117538000
Netherlands,NLD,2003,12764833000
Netherlands,NLD,2004,12895444000
Netherlands,NLD,2005,10787612000
Netherlands,NLD,2006,11178660000
Netherlands,NLD,2007,12296252000
Netherlands,NLD,2008,12722540000
Netherlands,NLD,2009,12422613000
Netherlands,NLD,2010,12466583000
Netherlands,NLD,2011,12840263000
Netherlands,NLD,2012,12944096000
Netherlands,NLD,2013,13644277000
Netherlands,NLD,2014,14443951000
Netherlands,NLD,2015,15420222000
Netherlands,NLD,2016,16685940000
Netherlands,NLD,2017,18222450000
Netherlands,NLD,2018,18909272000
Netherlands,NLD,2019,20303493000
Netherlands,NLD,2020,10216919000
Netherlands,NLD,2021,9379928000
New Zealand,NZL,1995,3711934000
New Zealand,NZL,1996,3815841300
New Zealand,NZL,1997,3395142100
New Zealand,NZL,1998,3478426000
New Zealand,NZL,1999,4237296600
New Zealand,NZL,2000,4891911000
New Zealand,NZL,2001,5305533400
New Zealand,NZL,2002,6340657000
New Zealand,NZL,2003,6648822300
New Zealand,NZL,2004,6859682300
New Zealand,NZL,2005,7973742000
New Zealand,NZL,2006,7939117000
New Zealand,NZL,2007,8002445000
New Zealand,NZL,2008,7792391700
New Zealand,NZL,2009,7375165000
New Zealand,NZL,2010,6818453500
New Zealand,NZL,2011,6685675500
New Zealand,NZL,2012,6315492400
New Zealand,NZL,2013,6421623000
New Zealand,NZL,2014,7239462400
New Zealand,NZL,2015,9469384000
